Product Type: Litetrack Iridium-420+
Product ID: 154964
Firmware Version: V17.13.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,Voltage,DOP,Satellites,Cause of Fix
1/30/2024 1:46:18 PM,27.6970608,-81.0120405,-7.47,171,12.5,3.85,3.8,4,GPS Schedule
1/30/2024 2:00:42 PM,27.7009128,-81.0123003,-5.21,42,15.5,3.85,2.4,6,GPS Schedule
1/30/2024 2:15:13 PM,27.7009116,-81.0122966,-0.65,13,16.0,3.85,2.2,6,GPS Schedule
1/30/2024 2:30:12 PM,27.7009090,-81.0122987,-6.55,12,16.5,3.85,2.2,6,GPS Schedule
1/30/2024 2:45:11 PM,27.7008969,-81.0123167,-1.85,11,18.5,3.85,2.2,6,GPS Schedule
1/30/2024 3:00:12 PM,27.7009014,-81.0123283,-0.65,12,21.0,3.85,2.4,6,GPS Schedule
1/30/2024 3:15:13 PM,27.7008895,-81.0122940,-11.03,13,23.0,3.85,3.8,5,GPS Schedule
1/30/2024 3:30:32 PM,27.7009384,-81.0123172,-6.31,32,25.5,3.85,1.6,8,GPS Schedule
1/30/2024 3:45:12 PM,27.7009039,-81.0122935,-3.32,12,27.0,3.85,1.8,8,GPS Schedule
1/30/2024 4:00:12 PM,27.7009157,-81.0122951,-1.52,12,26.0,3.85,2,8,GPS Schedule
1/30/2024 4:15:12 PM,27.7009055,-81.0122682,0.64,12,24.5,3.85,1.8,8,GPS Schedule
1/30/2024 4:30:12 PM,27.7009144,-81.0122750,-1.24,12,26.0,3.85,2,7,GPS Schedule
1/30/2024 4:45:12 PM,27.7009260,-81.0122798,2.77,12,30.5,3.85,1.8,7,GPS Schedule
1/30/2024 5:00:13 PM,27.7008953,-81.0122577,7.10,13,36.0,3.85,1.8,7,GPS Schedule
1/30/2024 5:15:13 PM,27.7008496,-81.0123267,-4.78,13,35.5,3.85,3.6,6,GPS Schedule
1/30/2024 5:30:12 PM,27.7008787,-81.0122898,-0.15,12,35.0,3.85,3,6,GPS Schedule
1/30/2024 5:45:42 PM,27.7008879,-81.0122935,-4.25,42,37.5,3.85,3.4,5,GPS Schedule
1/30/2024 6:00:42 PM,27.7008899,-81.0122814,1.79,42,37.0,3.85,1.4,9,GPS Schedule
1/30/2024 6:15:11 PM,27.7008912,-81.0123014,1.51,11,36.0,3.90,1.6,9,GPS Schedule
1/30/2024 6:30:12 PM,27.7008950,-81.0123030,2.85,12,37.5,3.85,1.6,9,GPS Schedule
1/30/2024 6:45:12 PM,27.7008790,-81.0123030,1.92,12,36.5,3.85,1.6,9,GPS Schedule
1/30/2024 7:00:12 PM,27.7009020,-81.0122798,1.38,12,34.5,3.85,2.8,8,GPS Schedule
1/30/2024 7:15:12 PM,27.7008902,-81.0122782,-0.42,12,33.5,3.85,2.4,8,GPS Schedule
