Product Type: Litetrack Iridium-420+
Product ID: 154955
Firmware Version: V17.13.0

GMT Time,Latitude,Longitude,Altitude,Duration,Temperature,Voltage,DOP,Satellites,Cause of Fix
1/26/2024 1:14:31 PM,27.6618903,-80.9867311,-2.36,70,23.5,3.85,2.8,6,GPS Schedule
1/26/2024 1:30:13 PM,27.6608892,-80.9779792,-1.81,13,22.0,3.85,2.4,6,GPS Schedule
1/26/2024 1:45:13 PM,27.6603403,-80.9775717,4.38,13,21.0,3.85,4.6,5,GPS Schedule
1/26/2024 2:00:17 PM,27.6603818,-80.9776307,-2.25,17,21.5,3.85,4.8,5,GPS Schedule
1/26/2024 2:15:42 PM,27.6600771,-80.9773447,-4.60,42,22.5,3.85,3.2,6,GPS Schedule
1/26/2024 2:30:12 PM,27.6600731,-80.9773205,7.02,12,22.5,3.85,3,6,GPS Schedule
1/26/2024 2:45:11 PM,27.6593421,-80.9772418,-4.31,11,23.5,3.85,2.8,6,GPS Schedule
1/26/2024 3:00:12 PM,27.6570084,-80.9770041,-4.18,12,25.0,3.85,2.8,6,GPS Schedule
1/26/2024 3:15:14 PM,27.6567813,-80.9782409,0.76,14,24.5,3.85,3.2,6,GPS Schedule
1/26/2024 3:30:13 PM,27.6568098,-80.9782165,-7.43,13,25.0,3.85,5.6,5,GPS Schedule
1/26/2024 3:45:16 PM,27.6566288,-80.9781046,11.47,16,25.5,3.85,6.2,5,GPS Schedule
1/26/2024 4:00:15 PM,27.6568454,-80.9782213,-2.03,15,26.0,3.85,6,5,GPS Schedule
1/26/2024 4:15:17 PM,27.6568677,-80.9782785,-32.60,17,27.0,3.85,5.6,5,GPS Schedule
1/26/2024 4:30:17 PM,27.6568144,-80.9783389,6.67,17,27.5,3.85,5,5,GPS Schedule
1/26/2024 4:45:42 PM,27.6567777,-80.9782884,12.29,42,28.0,3.85,2,7,GPS Schedule
1/26/2024 5:00:12 PM,27.6567728,-80.9783159,24.10,12,27.5,3.85,1.8,7,GPS Schedule
1/26/2024 5:15:13 PM,27.6567768,-80.9783821,6.01,13,27.0,3.85,1.8,7,GPS Schedule
1/26/2024 5:30:17 PM,27.6568450,-80.9784390,6.68,17,27.5,3.85,3.6,6,GPS Schedule
1/26/2024 5:45:22 PM,27.6567829,-80.9784207,26.26,22,27.5,3.85,3.2,6,GPS Schedule
1/26/2024 6:00:42 PM,27.6567793,-80.9785002,9.78,42,28.0,3.85,3.4,5,GPS Schedule
1/26/2024 6:15:18 PM,27.6567719,-80.9789210,-76.97,18,28.0,3.85,2.8,5,GPS Schedule
1/26/2024 6:30:17 PM,27.6568224,-80.9786960,-1.47,17,28.0,3.85,2.8,5,GPS Schedule
1/26/2024 6:45:19 PM,27.6568012,-80.9786323,3.00,19,29.0,3.85,3,5,GPS Schedule
1/26/2024 7:00:28 PM,27.6568157,-80.9786740,4.25,28,29.0,3.85,4,5,GPS Schedule
1/26/2024 7:15:42 PM,27.6568124,-80.9786239,4.94,42,29.5,3.85,3,6,GPS Schedule
1/26/2024 7:30:13 PM,27.6568253,-80.9785645,21.60,13,29.0,3.85,2.6,6,GPS Schedule
1/26/2024 7:45:13 PM,27.6568645,-80.9785700,-8.23,13,29.0,3.85,3,5,GPS Schedule
1/26/2024 8:00:15 PM,27.6568730,-80.9785996,-1.40,15,28.5,3.85,2.4,5,GPS Schedule
1/26/2024 8:15:14 PM,27.6569341,-80.9786633,-3.55,14,29.0,3.85,2.2,5,GPS Schedule
1/26/2024 8:30:20 PM,27.6568700,-80.9785987,12.16,20,29.0,3.85,2.2,5,GPS Schedule
1/26/2024 8:45:23 PM,27.6569637,-80.9785297,26.82,23,29.0,3.85,2.2,5,GPS Schedule
1/26/2024 9:00:41 PM,27.6568822,-80.9785713,22.50,41,28.5,3.85,2.2,7,GPS Schedule
1/26/2024 9:15:14 PM,27.6568994,-80.9786171,12.40,14,28.0,3.85,2,7,GPS Schedule
1/26/2024 9:30:16 PM,27.6568552,-80.9784760,26.05,16,27.5,3.85,1.8,7,GPS Schedule
1/26/2024 9:45:13 PM,27.6568017,-80.9785254,7.21,13,27.0,3.85,2,6,GPS Schedule
1/26/2024 10:00:14 PM,27.6568387,-80.9785143,1.55,14,26.5,3.85,1.8,6,GPS Schedule
1/26/2024 10:15:38 PM,27.6568247,-80.9785966,15.28,38,26.0,3.85,1.4,10,GPS Schedule
1/26/2024 10:30:12 PM,27.6569322,-80.9786918,-5.30,12,26.0,3.85,2.2,8,GPS Schedule
1/26/2024 10:45:22 PM,27.6568599,-80.9785944,1.37,22,25.5,3.85,2,7,GPS Schedule
1/26/2024 11:00:12 PM,27.6567693,-80.9787267,9.76,12,25.0,3.85,4.2,6,GPS Schedule
1/26/2024 11:15:12 PM,27.6549026,-80.9786100,-0.54,12,24.5,3.85,3.2,6,GPS Schedule
1/26/2024 11:30:12 PM,27.6507630,-80.9790048,0.17,12,22.5,3.85,2.8,6,GPS Schedule
1/26/2024 11:45:11 PM,27.6464084,-80.9799524,-5.34,11,21.5,3.85,2.6,6,GPS Schedule
1/27/2024 12:00:11 AM,27.6436434,-80.9787182,-2.27,11,21.0,3.85,2.4,6,GPS Schedule
1/27/2024 12:15:15 AM,27.6436213,-80.9787319,-8.36,15,20.5,3.85,7,5,GPS Schedule
1/27/2024 12:30:12 AM,27.6436513,-80.9787439,-12.55,12,20.0,3.85,6.6,5,GPS Schedule
1/27/2024 12:45:11 AM,27.6436391,-80.9787455,-12.14,11,19.5,3.85,6.2,5,GPS Schedule
1/27/2024 1:00:12 AM,27.6436357,-80.9788515,-2.79,12,19.5,3.85,5.6,5,GPS Schedule
1/27/2024 1:15:11 AM,27.6434923,-80.9787446,-6.93,11,18.5,3.85,5,5,GPS Schedule
1/27/2024 1:30:12 AM,27.6434931,-80.9787350,-13.57,12,18.5,3.85,4.6,5,GPS Schedule
1/27/2024 1:45:41 AM,27.6434610,-80.9787125,-2.47,41,18.5,3.85,1.6,9,GPS Schedule
1/27/2024 2:00:11 AM,27.6434616,-80.9787225,-2.61,11,18.0,3.85,1.6,9,GPS Schedule
1/27/2024 2:15:12 AM,27.6434612,-80.9787093,-4.68,12,18.5,3.85,1.6,9,GPS Schedule
1/27/2024 2:30:12 AM,27.6434647,-80.9786977,-5.42,13,18.5,3.85,2,8,GPS Schedule
1/27/2024 2:45:12 AM,27.6434695,-80.9787061,-6.43,13,19.5,3.85,2,8,GPS Schedule
1/27/2024 3:00:11 AM,27.6434529,-80.9786961,-7.22,12,20.0,3.85,2.4,7,GPS Schedule
1/27/2024 3:15:10 AM,27.6432721,-80.9786652,-3.45,11,19.0,3.85,2.4,7,GPS Schedule
1/27/2024 3:30:11 AM,27.6431485,-80.9786019,-11.79,12,18.0,3.85,2.4,7,GPS Schedule
1/27/2024 3:45:11 AM,27.6426832,-80.9782998,-6.02,12,18.0,3.85,2.8,7,GPS Schedule
1/27/2024 4:00:40 AM,27.6416993,-80.9759133,-2.61,41,18.5,3.85,2.4,8,GPS Schedule
1/27/2024 4:15:11 AM,27.6416945,-80.9759049,-1.60,11,18.0,3.85,2.2,8,GPS Schedule
1/27/2024 4:30:11 AM,27.6417217,-80.9759386,-5.19,12,17.5,3.85,2,8,GPS Schedule
1/27/2024 4:45:11 AM,27.6418030,-80.9756857,-5.14,12,16.5,3.85,1.8,8,GPS Schedule
1/27/2024 5:00:10 AM,27.6417870,-80.9756857,-6.07,11,16.5,3.85,2,7,GPS Schedule
1/27/2024 5:15:10 AM,27.6417911,-80.9756841,-6.95,11,15.5,3.85,2,7,GPS Schedule
1/27/2024 5:30:12 AM,27.6417863,-80.9756757,-5.93,13,15.5,3.85,2.4,5,GPS Schedule
1/27/2024 5:45:13 AM,27.6417666,-80.9756904,-3.91,14,16.0,3.85,2,6,GPS Schedule
1/27/2024 6:00:12 AM,27.6418212,-80.9757125,-6.85,13,16.5,3.85,6.6,5,GPS Schedule
1/27/2024 6:15:41 AM,27.6418123,-80.9756636,1.50,42,16.5,3.85,4.2,7,GPS Schedule
1/27/2024 6:30:11 AM,27.6418043,-80.9756636,1.04,12,16.5,3.85,4.2,7,GPS Schedule
1/27/2024 6:45:12 AM,27.6418311,-80.9757846,-13.26,13,16.5,3.85,3.8,6,GPS Schedule
